brand_id,track_id,added_by,added_at
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,002ab4e3-a2a1-412e-8c6a-803729074134,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,00d37d6b-6e59-4d93-a375-c0bdc92e348e,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,016f1a0c-a56a-42d8-ad00-a3bd60bb30f8,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,019b24de-77d3-48a4-be05-30cab8333b2f,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,01aa98e2-7aeb-424c-be5c-6226bad024e1,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,01e7c050-0e30-4342-b251-0e8a3f1a617c,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,02427025-746b-4f9a-8eae-00bb40c79293,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,02630354-0f27-4575-ba8c-0cf887a64e57,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,02cca7cd-85a4-41d5-ac20-3f6f550d15e9,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,02e7caf6-39b8-426f-8f14-94230acf7364,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,03ff47fb-1991-4086-a1a7-d02018dd40c1,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,0402885c-1de9-4cd8-91b4-56f6f9da7a54,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,04233d57-a19d-4b93-94f2-a82a937ce6cf,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,04ea94b4-a0b9-44c5-a71d-1d14f527e8ea,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,04ff28ed-a37c-46db-b005-c3fbe2634aa2,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,05120bb2-0a0f-4012-9e68-aac5abc86146,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,05532179-5173-4e45-b2a8-23f63d4379ef,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,05ecff60-6a42-43e7-aace-ce55c98e93bf,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,061620ea-f63d-4ae5-8bd3-54ec6aa32f2a,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,06750911-95d2-4276-8be7-9b1d0aa3bf55,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,0694042b-9897-4db0-b91e-83242b3994de,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,070b0b66-ac14-48ec-b1e0-db3c71d0c7fa,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,07964a0e-7d34-4968-aea3-9017ffe61db8,,2026-01-20 14:07:41.045039+00
5e6b1b5c-76b9-47bc-8329-24df844c5ca4,07d10bd5-2119-40d2-84aa-0d3cdd4221bf,,2026-01-20 14:07:41.045039+00
